POETRY,USG,POT,REP,DIV,EVE,VAR,cluster
Aws Ibn Hajr - Alam Taksifi Achamso,0.028,1,0.143,1.083,0.781,0.994,1
Bachar Ibn Bord - Taala Fi Hind,0.228,7,0.154,0.758,0.471,0.852,1
Bachar Ibn Bord - Tajahaza Taala Fi Al Nasabi,0.078,1,0.161,1.086,0.989,0,2
Badiie Azzaman Al Hamadani - Lain Ahrazaka Alda3i,0.13,3,0.269,0.773,0.704,0.894,1
Badiie Azzaman Al Hamadani - Salamon Raihon Ghadi,0.133,4,0.4,0.5,0.722,0.768,1
Badiie Azzaman Al Hamadani - Wa chaakiyaton takdibo,0.028,2,0.714,1.092,0.994,0.488,3
Chadli Khaznah Daar - Raahato Annoha,0.186,3,1,0.693,1,0,3
Chadli Khaznah Daar - Zaana Tarfoha Al Hawaro,0.102,3,1,0.693,1,0,3
Gibran Khalil Gibran - Rabbata Al Dawlati,0.16,6,0.125,1.467,0.819,1.054,1
Hafez Ibrahim - Ahlan Biawali moslimin,0.328,5,0.102,1.249,0.901,0.365,2
Hafez Ibrahim - Ma Lihatha Annajm,0.066,6,0.636,1.277,0.921,0.688,3
Hajib Ibn Habib - Batat Taloumo,0.04,2,0.3,0.999,0.91,0.972,1
Hassan Ibn Thabit - Onthor Khaliili,0.053,4,0.25,1.387,0.862,0.793,1
Hatim Attaii - Abaa Toolo Laylika,0.036,2,0.111,0.76,0.692,1.269,1
Ibn Abd Rabbih - Araa Lissibaa,0.025,2,1,0.693,1,0,3
Ibn Abd Rabbih - Kaabato Al Dolli,0.022,4,0.4,1.398,0.869,0.894,1
Ibn Abd Rabbih - Ya Laylatan,0.019,3,0.2,1.47,0.914,1.708,1
Ibn Al Khatib - Mawlaya,0.197,7,0.129,1.306,0.942,0.948,1
Ibn Al Moatazz - Jaara haada al dahro,0.125,5,0.233,1.651,0.848,0.932,1
Ibn Al Moatazz - La Ara Fil 3athili,0.06,6,0.273,1.569,0.975,1.168,1
Ibn Khafaajah - Marra bina wa howa badro,0.067,4,0.267,1.445,0.898,0.516,1
Ibn Nabaatah Al Misri - Afdi Qamar,0.15,3,0.3,0.804,0.732,0.693,1
Ibn Roumi - Dardato Ibrahim,0.093,6,0.235,1.368,0.85,1.56,1
Ibn Roumi - Ghosnon mina al bani,0.053,2,0.333,1.552,0.797,0.816,1
Ibn Roumi - Lakad Raaynaa 3ajaban,0.208,9,0.067,1.123,0.81,1.264,1
Ibn Sinae Al Malik - Ayadfa3oni Dahro,0.08,2,0.2,0.957,0.871,1.281,1
Ibn Sinae Al Malik - Laqad Laqayto Nasban,0.302,8,0.061,1.17,0.727,1.026,1
Ibn Zaydoun - Ya Ghazalan Asaarani,0.04,4,0.571,0.953,0.867,0.535,3
Ibn Zaydoun - Yaa Dam3i sob maa chiata,0.129,8,0.095,1.514,0.941,1.238,1
Ibrahim Nagui - Qolto Lilbahr,0.06,4,0.067,1.483,0.828,1.113,1
Ilyass Abou Chabaka - Laa Yachoqona arabon,0.06,2,0.933,0.766,0.697,0.258,3
Jamil Sidki Al Zahawi - Inna man qad jabbalak,0.28,7,0.188,1.35,0.839,1.111,1
Jarir - Baana Al Khaliito,0.096,2,0.292,0.948,0.863,0.722,1
Jarir - Inni Imriin,0.058,5,0.133,1.632,0.785,1.251,1
Khalil Matran - Al Qoloubo Wal Moqalo,0.12,3,1,0.693,1,0,3
Khalil Matran - Ala chabaabiki,0.021,3,0.4,1.366,0.985,1.14,1
Khalil Matran - Alaama Yokaamo timthaali,0.12,2,0.375,0.551,0.794,0,2
Khalil Matran - Hakou Lana,0.017,1,0.167,1.546,0.863,1.055,1
Lobayd Ibn Rabiia - Moallaqa,0.704,8,0.091,0.671,0.968,0,2
Mahmoud Sami Al Baroudi - Mas3aak,0.111,7,0.158,1.34,0.833,1.224,1
Mahmoud Sami Al Baroudi - Waylaho Min Nari Alhawa,0.146,10,0.316,0.785,0.715,0.733,1
Mikhail Noayma - Sakfo bayti hadid,0.114,4,0.85,0.777,0.708,0.639,3
Moein Bassissou - Al Milad,0.128,7,0.227,1.25,0.777,1.133,1
Mohammed Asmouni - Janniniini wa stariihi,0.156,11,1,0,1,0,3
Mostafa Sadek Al Rafii - Kaasouki Yaa Chamso Al Doha,0.076,2,0.118,0.939,0.483,2.42,1
Obayd Ibn Al Abrass - Moallaqa,-0.153,-3,0.065,1.949,0.784,1.549,1
Omar Ibn Abii Rabiia - Alaa yaa bakro kad taraqaa,0.06,2,0.5,0.69,0.995,0,2
Omar Ibn Abii Rabiia - Taribto Warda Man Tahwaa,0.095,2,0.263,0.693,1,0,2
Omayma Bint Omaya - Abaa Layli,0.085,3,0.647,0.355,0.323,0.332,3
Omroo Al Kays - Liman Talalon Bayna Al Jodayyati Wal Jabal,0.183,2,0.182,1.378,0.994,1.218,1
Omroo Al Kays - Moallaqa,0.135,1,0.111,1.391,0.864,1.167,1
Omroo Al Kays - Ya Dara Mawiyata,0.055,6,0.2,1.266,0.787,0.568,1
Qays Ibn Al Molawah - Alaa Fasali Al Rokban,0.053,2,0.188,1.377,0.994,1.025,1
Safiy Al Din Al Hilli - Ayna Filhimaa Arabo,0,0,0.857,0.975,0.606,0.267,3
Safiy Al Din Al Hilli - Chakawto Ilayki aljawaa,0.03,1,0.333,1.083,0.781,0.961,1
Siham Al Brahmi - Bariiqo Al Hibr,0.055,3,0.818,0.216,0.197,0.405,3
Souleyman Ben Sahman - Yaa Taarikan Limaraadi Allah,0.158,2,0.127,1.502,0.838,0.857,1
Taabbata Charran - Inna Bi Chaabi,0.155,5,0.129,1.28,0.795,1.055,1
Tarafa Ibn Al Abd - Achajaaka Al rab3o,0.138,6,0.435,1.314,0.948,0.752,1
Tarafa Ibn Al Abd - Moallaqa,0.167,1,0.13,1.387,0.862,1.069,1
Zohayr Ibn Abi Salma - Amin Aali Layla,0.068,2,0.176,0.828,0.754,1.228,1
Zohayr Ibn Abi Salma - Bana Alkhalit,0.124,3,0.121,1.215,0.755,0.851,1
Zohayr Ibn Abi Salma - Moallaqa,0.11,1,0.227,1.36,0.845,1,1
